_id,Rank,Name,Type,Tags[0],Tags[1],Tags[2],Tags[3],Tags[4],Tags[5],Tags[6],Tags[7],Tags[8],Tags[9],Tags[10],Rating,Release_year,Content_Warning,Content_Warning[0],Content_Warning[1]
65aa92d61e4a130e43222018,11012,Nisshin Seifun Group CM,Other,Animal Protagonists,Cats,Commercials,Non-Human Protagonists,Promotional,Short Episodes,,,,,,3.16,2010,,,
65aa92c21e4a130e4321f78a,630,From Up on Poppy Hill,Movie,Drama,Romance,Shoujo,Slice of Life,Coming of Age,Historical,School Life,Based on a Manga,,,,4.08,2011,,,
65aa92ce1e4a130e43220fb7,6819,Treasure Hunting,Movie,Animal Protagonists,Anthropomorphic,Family Friendly,Ghibli Museum Shorts,Non-Human Protagonists,Rabbits,Shorts,,,,,3.4,2011,,,
65aa92c21e4a130e4321f736,546,The Tale of the Princess Kaguya,Movie,Fantasy,Coming of Age,Feudal Japan,Historical,Japanese Mythology,Royalty,,,,,,4.1,2013,,,
65aa92c21e4a130e4321f79f,651,The Wind Rises,Movie,Drama,Romance,Aviation,Biographies,Historical,War,World War 2,,,,,4.07,2013,,,
65aa92c21e4a130e4321f6e6,466,When Marnie Was There,Movie,Drama,Coming of Age,Based on a Novel,,,,,,,,,4.13,2014,,,
65aa92da1e4a130e43222a6b,13655,Taiko Drum Master: 15 Shuunenkinen Short Animation,Web  ,Anthropomorphic,Music,Shorts,Based on a Video Game,,,,,,,,2.9,2015,,,
65aa92d41e4a130e43221c34,10016,Choujuu Giga,Web  ,Animal Protagonists,Environmental,No Dialogue,Non-Human Protagonists,Promotional,Rabbits,Short Episodes,,,,,3.23,2016,,,
65aa92db1e4a130e43222d1b,14343,Tonari no Onigiri-kun,Other,Commercials,Food and Beverage,Promotional,Short Episodes,,,,,,,,2.76,2016,,,
65aa92c91e4a130e4322034b,3639,Boro the Caterpillar,Movie,Adventure,Animal Protagonists,Family Friendly,Ghibli Museum Shorts,Insects,Non-Human Protagonists,Shorts,CG Animation,,,,3.61,2018,,,
65aa92d61e4a130e4322216a,11350,Lawson: Machi no Hot Station CM,Other,Commercials,Promotional,Work Life,,,,,,,,,3.14,2019,,,
65aa92d81e4a130e43222609,12533,Earwig and the Witch,TV Sp,Fantasy,Family Friendly,Magic,Orphans,Supernatural,Witches,Based on a Novel,CG Animation,,,,3.04,2020,,,
