_id,numberOfAnime,averageEpisodes,releasePeriodStart,releasePeriodEnd,averageRating
Gundam: Mission To The Rise,46,22.838709677419356,1979,2018,3.6213043478260873
After War Gundam X,46,20.06896551724138,1985,2018,3.5710869565217394
Mobile Suit Gundam: The Origin,46,22.4,1985,2017,3.603695652173913
Pokemon: Black & White: Adventures in Unova and Beyond,45,82.38461538461539,1997,2019,3.393333333333333
Collection of Key Animation Films,45,24.275862068965516,1979,2018,3.6244444444444444
Mokei Senshi Gunpla Builders Beginning G,45,22.166666666666668,1985,2018,3.6122222222222224
Mobile Suit Gundam Wing: Endless Waltz,45,21.107142857142858,1985,2018,3.572
One Piece,45,1,1998,2004,3.7870454545454546
Mobile Suit Gundam MS IGLOO: The Hidden One Year War,45,22.82758620689655,1985,2018,3.61
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,45,21.20689655172414,1985,2018,3.606222222222222
Mobile Suit Gundam F91,45,21.933333333333334,1979,2018,3.606888888888889
Mobile Fighter G Gundam,45,21.24137931034483,1985,2018,3.6044444444444443
Mobile Suit Victory Gundam,45,21.17241379310345,1985,2018,3.609333333333333
Mobile Suit Gundam Wing: Endless Waltz Movie,45,20.482758620689655,1985,2018,3.5713333333333335
Mobile Suit Gundam ZZ,45,20.285714285714285,1985,2018,3.5982222222222218
Mobile Suit Gundam 00 Second Season,45,21.071428571428573,1985,2018,3.584222222222222
Mobile Suit Gundam 0083: The Afterglow of Zeon,45,21.20689655172414,1985,2018,3.590222222222222
Pokemon: Diamond & Pearl,44,69.23076923076923,1997,2019,3.3947727272727275
Mobile Suit Gundam MS IGLOO 2: Juuryoku Sensen,44,21.857142857142858,1985,2018,3.6011363636363636
Mobile Suit Gundam AGE,44,20.214285714285715,1985,2018,3.6061363636363635
Sore Ike! Anpanman,44,12,1989,1996,3.5972500000000003
Mobile Suit Gundam 00 Special Edition II: End of World,43,21.814814814814813,1985,2018,3.57953488372093
Mobile Suit Gundam MS IGLOO: Apocalypse 0079,43,22.62962962962963,1985,2018,3.6130232558139537
Mobile Suit Gundam AGE: Memory of Eden,43,21.77777777777778,1985,2018,3.592093023255814
Pokemon: Black & White,43,77.46153846153847,1997,2019,3.39906976744186
Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,43,21.071428571428573,1985,2018,3.582093023255814
Mobile Suit Gundam ZZ: Gundam Frag.,43,21.071428571428573,1985,2018,3.5995348837209304
Mobile Suit Gundam 00 Special Edition III: Return the World,43,21.814814814814813,1985,2018,3.5797674418604655
Pokemon: Black & White - Rival Destinies,43,82.07692307692308,1997,2019,3.3983720930232555
Pokemon: Black & White: Adventures in Unova,43,82.84615384615384,1997,2019,3.3958139534883722
Mobile Suit Gundam 00 Special Edition I: Celestial Being,43,21.814814814814813,1985,2018,3.57953488372093
Pleasant Goat and Big Big Wolf,42,52,2008,2018,3.434285714285714
Wake Up,42,11.263157894736842,2013,2018,3.28
Pokemon Mystery Dungeon: Explorers of Time and Darkness,39,37.44444444444444,2003,2015,3.341025641025641
Crayon Shin-chan,39,18.833333333333332,1992,2020,3.476842105263158
Pokemon: Pikachu's Great Sparking Search,38,52.9,2002,2015,3.351578947368421
Pokemon: Pikachu's Big Mysterious Adventure,38,52.9,2002,2015,3.348684210526316
Pokemon: Pikachu's Great Ice Adventure,38,52.9,2002,2015,3.351578947368421
Mobile Suit Gundam: Iron-Blooded Orphans,38,25.304347826086957,1985,2018,3.5483333333333333
Pokemon Movie 17: Diancie and the Cocoon of Destruction,38,43,2003,2015,3.3544736842105265
Pokemon: Pikachu's Island Adventure,38,58.666666666666664,2002,2015,3.3521052631578945
Pokemon: Pikachu's Summer Festival,38,52.9,2002,2015,3.3513157894736842
Pokemon: Pichu Bros. in Party Panic,38,52.9,2002,2015,3.349736842105263
Pokemon: Pikachu's Ghost Carnival,38,52.9,2002,2015,3.351578947368421
Irodorimidori: Polka Dot,37,,2015,,3.0054054054054054
Irodorimidori: Sousha wa Tada Senaka to Teikin de Kataru Nomi,37,,2015,,3.008648648648649
Irodorimidori: Sayonara Freeway,37,,2015,,3.004054054054054
Pokemon Movie 6: Jirachi Wish Maker,37,52.9,2002,2015,3.353783783783784
Pokemon Movie 8: Lucario and The Mystery of Mew,37,52.9,2002,2015,3.3475675675675673
Irodorimidori: Spicy Swingy Style,37,,2015,,3.0094594594594595
Irodorimidori: Session High⤴,37,,2015,,3.0054054054054054
Irodorimidori: Shout Our Evidence!,37,,2015,,3.0005405405405403
Pokemon: Eevee and Friends,37,37.44444444444444,2003,2015,3.348648648648649
Irodorimidori: Light Speed Days,37,,2015,,3.0062162162162163
Irodorimidori: Detarame Rock & Roll Theory,37,,2015,,3.0105405405405405
"Irodorimidori: ""Star""t",37,,2015,,3.0024324324324327
Irodorimidori: Outsider Requiem,37,,2015,,3.0064864864864864
Pokemon: Mewtwo - Prologue to Awakening,37,37.44444444444444,2003,2015,3.35
Irodorimidori: Very! Merry!! Session!!!,37,,2015,,3.0081081081081082
Irodorimidori: Dokidoki Dream!!!,37,,2015,,3.0097297297297296
Irodorimidori: Tanitsu Shikousei Overbloom,37,,2015,,2.9994594594594597
Irodorimidori: Crescendo Story,37,,2015,,3.0062162162162163
Pokemon XY Special: Road to Kalos,37,43,2003,2015,3.366216216216216
Irodorimidori: Change Our Mirai! (Our 7 Lights),37,,2015,,3.003243243243243
Pokemon Movie 7: Destiny Deoxys,37,52.9,2002,2015,3.3521621621621622
Irodorimidori: Irotoridori no Melody,37,,2015,,3.0075675675675675
Irodorimidori: Minna e wo Check!,37,,2015,,3.0043243243243243
Irodorimidori: Prism,37,,2015,,3.0064864864864864
Irodorimidori: Fortissimo Bell,37,,2015,,3.0091891891891893
Pokemon Movie 9: Pokemon Ranger and the Temple of the Sea,37,52.9,2002,2015,3.352972972972973
Irodorimidori: Trust,37,,2015,,3.008648648648649
Irodorimidori: Ever Green Never End,37,,2015,,3.0005405405405403
Irodorimidori: Agitation!,37,,2015,,3.0035135135135134
Pokemon: Gotta Dance!,37,52.9,2002,2015,3.36027027027027
Pokemon: Hoopa,37,37.44444444444444,2003,2015,3.357027027027027
Irodorimidori: Bang Babang Bang!!!,37,,2015,,3.0121621621621624
Irodorimidori: Black'n White JAMMIN' CATS,37,,2015,,3.0062162162162163
Irodorimidori: Heart Beat,37,,2015,,3.0083783783783784
Irodorimidori: Muteki We Are One!!,37,,2015,,3.0121621621621624
Pokemon XY: Sora no Hahen,37,43,2003,2015,3.3643243243243246
Irodorimidori: Issei Kiyuukyoku - Divertimento,37,,2015,,3.005135135135135
Irodorimidori: Moushin Soloist Life!,37,,2015,,3.01027027027027
Irodorimidori: Neko Matsuri,37,,2015,,3.0035135135135134
Irodorimidori: Tic Tac DREAMIN’,37,,2015,,3.0072972972972973
Irodorimidori: Change Our Mirai!,37,,2016,,3.01027027027027
Irodorimidori: My Dearest Song,37,,2015,,3.004864864864865
Irodorimidori: Fire Me Up,37,,2015,,3.003783783783784
Irodorimidori: Brilliant Better,37,,2015,,3.0091891891891893
Irodorimidori: Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigot,37,,2015,,3.0064864864864864
Pokemon: Pikachu Tanken Club,37,37.44444444444444,2003,2015,3.351621621621622
The Mischief Pokemon,37,37.44444444444444,2003,2015,3.357027027027027
Pokemon XY: Mega Evolution,37,43,2003,2015,3.350810810810811
Irodorimidori: Still,37,,2015,,3.0024324324324327
Pokemon Movie 10: The Rise of Darkrai,36,37.44444444444444,2003,2015,3.3452777777777776
Pokemon Movie 15: Kyurem vs. The Sword of Justice,36,37.44444444444444,2003,2015,3.3533333333333335
Pokemon Movie 14: Black - Victini and Reshiram,36,37.44444444444444,2003,2015,3.3505555555555557
Pokemon Movie 12: Arceus and the Jewel of Life,36,37.44444444444444,2003,2015,3.3469444444444445
Pokemon Movie 11: Giratina and the Sky Warrior,36,37.44444444444444,2003,2015,3.3475
Pokemon: Meloetta's Moonlight Serenade,36,37.44444444444444,2003,2015,3.355
Irodorimidori: Ok? Alright!,36,,2015,,2.995277777777778
